User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1003420,P3936,M,26-35,4,A,0,1,19,10.0,9.0,9566
1000301,P4862,F,26-35,9,C,1,0,10,5.0,10.0,6500
1000606,P6649,F,51-55,19,B,0,1,3,8.0,2.0,5690
1003170,P4261,F,46-50,1,C,4+,0,1,5.0,5.0,3738
1000699,P2819,F,18-25,3,B,0,0,18,5.0,17.0,6266
1005088,P2342,F,18-25,11,B,0,1,15,14.0,,9027
1009331,P6560,F,36-45,10,A,0,1,20,1.0,,7758
1000190,P3226,F,26-35,3,A,4+,0,4,5.0,,3757
1000980,P2079,F,36-45,10,B,2,0,18,12.0,,9165
1002975,P5206,M,0-17,8,C,3,0,10,15.0,,5776
1006102,P7280,M,18-25,9,B,0,0,19,,6.0,11459
1001184,P8235,F,36-45,5,A,1,0,17,,14.0,8323
1003327,P1813,F,18-25,14,C,1,0,10,12.0,,6829
1003394,P6089,F,46-50,9,C,4+,0,4,13.0,15.0,3021
1008319,P3031,F,0-17,20,A,2,0,5,14.0,,5288
1001816,P9514,M,18-25,5,A,0,1,7,10.0,,6552
1005854,P6911,M,55+,0,A,4+,1,19,14.0,,8847
1006709,P3653,F,26-35,20,C,3,0,19,,15.0,11568
1000569,P4340,M,36-45,19,C,2,1,8,,,6708
1005442,P8876,M,18-25,20,A,2,1,1,,,3957
1001895,P2141,F,36-45,3,A,4+,0,8,10.0,,4960
1002733,P9558,F,36-45,13,C,1,0,19,12.0,,11308
1003863,P3897,F,26-35,19,C,2,1,17,2.0,15.0,10745
1007455,P5041,M,46-50,19,C,1,0,9,1.0,,6880
1004014,P3038,M,36-45,7,B,2,1,20,4.0,16.0,10963
1001686,P5270,F,26-35,10,A,2,0,16,8.0,,9892
1003009,P5683,F,26-35,14,B,2,0,9,17.0,,7090
1007806,P1494,M,26-35,18,A,3,1,19,,8.0,10612
1000154,P8116,M,18-25,7,C,1,1,16,,7.0,10519
1001409,P2784,F,26-35,12,B,3,0,13,4.0,6.0,8957
1000784,P4510,M,26-35,17,C,1,1,19,16.0,,13453
1008096,P4786,F,26-35,16,B,3,0,5,13.0,10.0,3077
1007560,P6266,F,36-45,5,C,3,1,2,7.0,,3942
1007343,P6428,M,26-35,14,A,3,1,4,,,6123
1007206,P7681,M,51-55,12,B,4+,0,12,10.0,16.0,9026
1005596,P7893,M,18-25,17,B,3,0,18,,11.0,10217
1005801,P5658,F,26-35,10,A,2,0,3,11.0,,2164
1002806,P8082,F,46-50,12,C,0,0,19,11.0,,12168
1000537,P7869,F,26-35,0,B,3,0,4,,,3022
1005986,P8607,F,26-35,17,B,0,1,4,8.0,,4265
1001841,P8669,F,0-17,4,C,0,0,16,17.0,,11120
1008716,P7219,F,26-35,5,C,2,0,11,6.0,10.0,5172
1006971,P5534,M,18-25,0,B,0,1,13,14.0,,8483
1005625,P6979,F,55+,6,C,0,0,11,,,5855
1002950,P9890,F,26-35,3,A,0,0,7,,,4049
1007992,P2312,F,51-55,8,A,1,0,14,,,8281
1004780,P3962,F,36-45,14,B,3,0,4,4.0,16.0,5252
1002368,P3938,M,26-35,5,B,3,0,8,,2.0,6940
1006655,P4197,F,26-35,16,B,0,1,12,,,9058
1008173,P6296,M,46-50,19,A,2,0,13,,,7792
1004495,P8204,M,51-55,17,B,1,1,9,,,5548
1009163,P6730,F,18-25,3,C,2,1,9,9.0,,5369
1006002,P1126,F,26-35,8,B,2,1,2,,,3697
1006614,P6602,M,26-35,13,C,0,0,3,8.0,12.0,4033
1009358,P2191,M,0-17,2,C,4+,0,12,13.0,8.0,2862
1005919,P3639,F,36-45,0,A,0,1,17,,,6607
1000853,P2366,M,46-50,10,A,4+,0,4,17.0,,4211
1004146,P7453,F,26-35,0,A,1,0,14,5.0,16.0,8626
1003769,P7671,F,36-45,11,C,4+,1,9,,16.0,5174
1000574,P7683,M,36-45,8,A,0,1,8,11.0,,6860
1001148,P5539,F,26-35,4,A,0,0,1,2.0,,845
1006293,P9876,F,18-25,14,C,2,1,13,13.0,11.0,8347
1006457,P3887,F,36-45,17,B,0,0,3,1.0,9.0,4535
1007509,P5086,M,46-50,8,A,0,0,14,8.0,14.0,8942
1009907,P3261,M,36-45,12,A,3,1,19,,,9410
1004777,P5180,M,0-17,12,C,3,1,6,2.0,,3563
1003854,P3841,F,18-25,12,C,2,1,4,,,5191
1002491,P7040,M,0-17,9,A,4+,0,20,,14.0,9009
1003124,P4560,M,26-35,9,B,4+,1,1,17.0,1.0,2315
1005691,P5758,M,36-45,6,C,3,0,10,14.0,,8330
1003051,P1626,F,18-25,4,C,1,0,13,11.0,,7644
1000004,P6014,F,46-50,19,C,3,1,12,14.0,,8383
1005222,P2375,M,26-35,6,B,1,0,11,5.0,14.0,7810
1005315,P2181,M,36-45,19,C,4+,0,4,6.0,14.0,5747
1004869,P6708,M,55+,9,A,3,0,17,11.0,,9614
1000876,P1490,F,18-25,9,A,0,0,15,2.0,,7458
1009183,P4729,M,51-55,20,B,1,0,3,10.0,,7921
1007027,P6974,F,18-25,12,B,1,0,10,13.0,,6369
1004142,P4534,F,26-35,14,C,1,0,14,2.0,10.0,8837
1006966,P4296,F,46-50,5,A,4+,0,19,,5.0,10428
1007079,P2940,M,51-55,19,C,2,1,4,17.0,,4400
1007987,P6014,M,26-35,11,A,0,1,14,,,8049
1006799,P2882,F,36-45,18,B,3,0,6,8.0,,7266
1004465,P5908,F,36-45,10,A,1,0,12,,,6513
1000635,P3987,F,46-50,5,B,4+,1,2,7.0,,3595
1001693,P6585,F,18-25,0,B,1,0,17,16.0,15.0,9875
1009874,P4159,M,46-50,1,B,3,0,1,17.0,,2503
1004752,P5530,M,26-35,14,A,0,1,17,1.0,,9827
1008311,P1681,F,26-35,3,B,1,0,5,13.0,,5328
1000830,P6254,F,26-35,4,C,4+,0,16,16.0,,8475
1005177,P2073,F,26-35,14,A,4+,0,14,,,5947
1009561,P3387,M,51-55,10,A,2,0,20,15.0,15.0,12705
1008932,P3693,F,26-35,9,A,4+,0,10,12.0,,5369
1008308,P5340,M,55+,16,C,2,1,3,8.0,,4719
1005949,P3156,F,18-25,1,B,0,1,3,1.0,3.0,1679
1002838,P8966,M,36-45,19,A,3,0,18,11.0,10.0,10027
1001150,P3580,M,46-50,9,C,2,1,18,,,9516
1007560,P8257,F,36-45,19,B,1,1,4,,12.0,4949
1001931,P3159,M,36-45,2,A,1,0,7,16.0,,4167
1009204,P7772,M,26-35,18,C,3,0,1,7.0,,6159
1001664,P2627,M,46-50,4,B,4+,0,16,1.0,,8969
1001081,P9219,M,46-50,2,B,1,1,17,2.0,,10277
1000512,P8080,F,18-25,7,B,2,0,8,8.0,,5609
1007805,P2985,F,46-50,4,C,3,1,6,11.0,,5837
1005237,P9488,F,26-35,11,A,1,0,2,13.0,6.0,939
1000559,P3181,F,18-25,13,A,4+,0,10,5.0,,5934
1003672,P3296,F,46-50,6,A,4+,0,17,3.0,,8534
1007404,P8164,M,26-35,10,C,1,1,19,,,9864
1003343,P3597,M,46-50,7,B,3,0,4,5.0,,4942
1004070,P1901,M,18-25,4,B,0,0,13,,,8445
1009662,P7060,M,0-17,7,A,1,0,19,7.0,,10231
1000580,P2677,F,26-35,11,B,4+,1,16,12.0,,9001
1007004,P3881,F,18-25,14,C,0,1,13,14.0,,10969
1008130,P6622,M,36-45,18,B,3,0,5,16.0,6.0,5770
1003147,P9052,F,18-25,15,C,4+,1,12,13.0,,5030
1004249,P2378,M,26-35,13,A,3,0,7,10.0,,6804
1001679,P2248,M,18-25,6,C,1,0,9,6.0,,6931
1003506,P6650,F,18-25,7,A,3,0,5,3.0,,5811
1007253,P7079,F,46-50,6,B,4+,0,4,4.0,,4678
1002744,P8036,F,18-25,17,C,1,0,10,1.0,10.0,5934
1009435,P7487,F,36-45,5,C,4+,1,16,11.0,,9768
1005188,P2058,F,51-55,18,A,4+,1,11,17.0,,7599
